,Model,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
6,Gradient_Boosting,min,0.3,0.8699295372310036,0.7628032345013477,0.3223234624145786,0.45316253002401924,0.832422881778705
7,Gradient_Boosting,min,0.35000000000000003,0.8773584905660378,0.7692307692307693,0.32341526520051744,0.4553734061930783,0.832422881778705
8,Gradient_Boosting,min,0.4,0.8793601421906243,0.7686832740213523,0.3112391930835735,0.4430769230769231,0.832422881778705
9,Gradient_Boosting,min,0.45,0.8841492971400873,0.7669491525423728,0.2996688741721854,0.430952380952381,0.832422881778705
10,Gradient_Boosting,min,0.5,0.8885630498533724,0.7711442786069652,0.29411764705882354,0.4258241758241758,0.832422881778705
11,Gradient_Boosting,min,0.55,0.8904028436018957,0.7784431137724551,0.28077753779697623,0.4126984126984127,0.832422881778705
12,Gradient_Boosting,min,0.6,0.8930356547817394,0.7803030303030303,0.2607594936708861,0.3908918406072106,0.832422881778705
13,Gradient_Boosting,min,0.65,0.8948971820258949,0.7798165137614679,0.2522255192878338,0.3811659192825112,0.832422881778705
14,Gradient_Boosting,min,0.7000000000000001,0.8987116836961351,0.8214285714285714,0.24468085106382978,0.3770491803278688,0.832422881778705
15,Gradient_Boosting,min,0.75,0.9040511727078892,0.8412698412698413,0.23766816143497757,0.3706293706293706,0.832422881778705
16,Gradient_Boosting,min,0.8,0.90473017988008,0.8490566037735849,0.25,0.38626609442060084,0.832422881778705
17,Gradient_Boosting,min,0.85,0.9040852575488455,0.8378378378378378,0.23308270676691728,0.36470588235294116,0.832422881778705
18,Gradient_Boosting,min,0.9,0.8974700399467377,0.8571428571428571,0.24742268041237114,0.384,0.832422881778705
19,Gradient_Boosting,min,0.9500000000000001,0.875,0.8125,0.22807017543859648,0.3561643835616438,0.832422881778705
0,AdaBoost,min,0.0,0.7436341821090521,0.4426585577758471,0.6142254370102471,0.5145165362282252,0.7654375061924785
1,AdaBoost,min,0.05,0.7549817569463935,0.4619385342789598,0.616403785488959,0.5281081081081082,0.7654375061924785
2,AdaBoost,min,0.1,0.7667012294474893,0.4795018162947587,0.6176470588235294,0.5398773006134969,0.7654375061924785
3,AdaBoost,min,0.15,0.7750941028858218,0.49352112676056337,0.6208362863217576,0.5499058380414312,0.7654375061924785
